id_type,price,address,number_of_part,img_link
Location,2500000,"Hann Bel-Air, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5062510_uploaded_image1_1732625221.jpg
Vente,270000000,"Sicap Liberté, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5043439_uploaded_image1_1731581055.jpg
Location,2000000,"Almadies, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5043400_uploaded_image1_1731579848.jpg
Location,3000000,"Mermoz-Sacré Coeur, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_5052854_uploaded_image1_1732096984.jpg
Vente,750000000,"Mermoz-Sacré Coeur, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_5052845_uploaded_image1_1732096690.jpg
Location,400000,"Mbao, Dakar, Sénégal",1,https://images.coinafrique.com/thumb_5043297_uploaded_image1_1731576331.jpg
Location,4000000,"Almadies, Dakar, Sénégal",1,https://images.coinafrique.com/thumb_5062145_uploaded_image1_1732614198.jpg
Vente,58000000,"Mbao, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_5061682_uploaded_image1_1732579197.jpg
Location,800000,"Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5042728_uploaded_image1_1731533464.jpg
Vente,285000000,"Sicap Liberté, Dakar, Sénégal",4,https://images.coinafrique.com/thumb_5057233_uploaded_image1_1732310446.jpg
Vente,150000000,"Sicap Liberté, Dakar, Sénégal",12,https://images.coinafrique.com/thumb_5057219_uploaded_image1_1732309723.jpg
Vente,219000000,"Sicap Liberté, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_5056930_uploaded_image1_1732295133.jpg
Vente,183000000,"Diamniadio, Sénégal",4,https://images.coinafrique.com/thumb_5026581_uploaded_image1_1730737117.jpg
Location,1000000,"Mamelles, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5060976_uploaded_image1_1732548655.jpg
A,1000000,"Ouakam, Dakar, Sénégal",3,https://images.coinafrique.com/thumb_5019385_uploaded_image1_1730371151.jpg
Location,1300000,"Mermoz-Sacré Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5015860_uploaded_image1_1730192855.jpg
