web-scraper-order,web-scraper-start-url,terrains_links,terrains_links-href,area,price,address,images_links
1732750806-1,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains  32 lots -  Bambilor,https://sn.coinafrique.com/annonce/terrains/terrains-32-lots-bambilor-2598200,150 m2,2 500 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2598200_uploaded_image1_1599148192.jpg""); width: 400px;"
1732750809-2,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains   -Niakhirate,https://sn.coinafrique.com/annonce/terrains/terrains-niakhirate-2598415,150,9 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2598415_uploaded_image1_1599152357.jpg""); width: 467px;"
1732750812-3,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains - Niacoulrab,https://sn.coinafrique.com/annonce/terrains/vente-terrains-niacoulrab-2598895,150 m2,25 000 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2598895_uploaded_image1_1599166607.jpg""); width: 434px;"
1732750817-4,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains 225m²  - Almadies 2 Rufisque,https://sn.coinafrique.com/annonce/terrains/vente-terrains-225m-almadies-2-rufisque-2598964,225,38 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2598964_uploaded_image1_1599168578.jpg""); width: 412px;"
1732750823-5,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 341 m2 - Virage,https://sn.coinafrique.com/annonce/terrains/terrain-341-m2-virage-2599377,341 m2,220 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2599377_uploaded_image1_1599181616.jpg""); width: 666px;"
1732750828-6,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 160 m2 - Diamniadio,https://sn.coinafrique.com/annonce/terrains/terrain-160-m2-diamniadio-2599385,160 m2,32 000 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2599385_uploaded_image1_1599182361.jpg""); width: 671px;"
1732750833-7,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain - Touba,https://sn.coinafrique.com/annonce/terrains/vente-terrain-touba-2599551,500 m2,1 100 000 CFA,"Touba, Sénégal","background-image: url(""https://images.coinafrique.com/2599551_uploaded_image1_1599202606.jpg""); width: 488px;"
1732750838-8,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain - Lac Rose,https://sn.coinafrique.com/annonce/terrains/terrain-lac-rose-2600114,150 m2,3 500 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2600114_uploaded_image1_1599218548.jpg""); width: 642px;"
1732750842-9,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 150 m2 - Sebikotane,https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-sebikotane-2601036,600 m2,5 500 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2601036_uploaded_image1_1599241177.jpg""); width: 623px;"
1732750847-10,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 11000 m² - Warang,https://sn.coinafrique.com/annonce/terrains/vente-terrain-11000-m-warang-2601585,11000 m2,290 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2601585_uploaded_image1_1599256819.jpg""); width: 369px;"
1732750851-11,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 10000m²  - Mbour,https://sn.coinafrique.com/annonce/terrains/vente-terrain-10000m-mbour-2602732,10000,14 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2602732_uploaded_image1_1599307608.jpg""); width: 453px;"
1732750855-12,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains 300m²  - Mbodiene,https://sn.coinafrique.com/annonce/terrains/vente-terrains-300m-mbodiene-2602757,300,9 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2602757_uploaded_image1_1599308251.jpg""); width: 453px;"
1732750858-13,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 600 m² - Mbodiene,https://sn.coinafrique.com/annonce/terrains/vente-terrain-600-m-mbodiene-2602785,600,16 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2602785_uploaded_image1_1599308810.jpg""); width: 453px;"
1732750862-14,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain 300m²  - Saly Diambar,https://sn.coinafrique.com/annonce/terrains/vente-terrain-300m-saly-diambar-2602873,300,8 000 000 CFA,"Saly, Sénégal","background-image: url(""https://images.coinafrique.com/2602873_uploaded_image1_1599311275.jpg""); width: 453px;"
1732750867-15,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 300 m² - Mbour,https://sn.coinafrique.com/annonce/terrains/vente-terrain-300-m-mbour-2602924,300,41 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2602924_uploaded_image1_1599312022.jpg""); width: 453px;"
1732750873-16,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains - Almadies,https://sn.coinafrique.com/annonce/terrains/vente-terrains-almadies-2602996,793 m2,1 600 000 CFA,"Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2602996_uploaded_image1_1599314466.jpg""); width: 550px;"
1732750879-17,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 89 ha -  Noflaye,https://sn.coinafrique.com/annonce/terrains/vente-terrain-89-ha-noflaye-2603227,890000 m2,13 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2603227_uploaded_image1_1599319620.jpg""); width: 671px;"
1732750883-18,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains 225m² - Diass,https://sn.coinafrique.com/annonce/terrains/vente-terrains-225m-diass-2603315,225 m2,1 000 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2603315_uploaded_image1_1599322528.jpg""); width: 405px;"
1732750888-19,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain - Dakar,https://sn.coinafrique.com/annonce/terrains/vente-terrain-dakar-2603988,3446 m2,2 000 000 000 CFA,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2603988_uploaded_image1_1599345517.jpg""); width: 407px;"
1732750893-20,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain 2000m² - Ngor,https://sn.coinafrique.com/annonce/terrains/vente-terrain-2000m-ngor-2604144,2000 m2,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2604144_uploaded_image1_1599353630.jpg""); width: 548px;"
1732750897-21,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 225 m² - Thies,https://sn.coinafrique.com/annonce/terrains/vente-terrain-225-m-thies-2605004,225,350 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2605004_uploaded_image2_1599400649.jpeg""); width: 451px;"
1732750901-22,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain - Dra Thioubou estaction,https://sn.coinafrique.com/annonce/terrains/vente-terrain-dra-thioubou-estaction-2605742,,4 000 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2605742_uploaded_image1_1599423871.jpg""); width: 566px;"
1732750905-23,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain 265m² - Almadies,https://sn.coinafrique.com/annonce/terrains/vente-terrain-265m-almadies-2606032,265,95 000 000 CFA,"Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2606032_uploaded_image1_1599433523.jpg""); width: 416px;"
1732750910-24,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 4 hectares - Dakar,https://sn.coinafrique.com/annonce/terrains/vente-terrain-4-hectares-dakar-2606058,40000 m2,250 000 CFA,"Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2606058_uploaded_image1_1599434458.jpg""); width: 550px;"
1732750914-25,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 150 m2 - Lac Rose,https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-lac-rose-2606122,150,1 500 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2606122_uploaded_image1_1599438661.jpg""); width: 483px;"
1732750918-26,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains - Thiès,https://sn.coinafrique.com/annonce/terrains/terrains-thies-2607323,225 m2,Prix sur demande,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2607323_uploaded_image1_1599482756.jpg""); width: 396px;"
1732750923-27,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 225 m2 - Diass,https://sn.coinafrique.com/annonce/terrains/terrains-225-m2-diass-2607378,225,1 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2607378_uploaded_image1_1599484724.jpg""); width: 398px;"
1732750928-28,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain  - Keur massar,https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-2607643,150 m2,8 000 000 CFA,Sénégal,"background-image: url(""https://images.coinafrique.com/2607643_uploaded_image1_1599490931.jpg""); width: 455px;"
1732750932-29,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 120000 m2 - Fatick,https://sn.coinafrique.com/annonce/terrains/terrains-120000-m2-fatick-2607710,120000,Prix sur demande,"Fatick, Sénégal","background-image: url(""https://images.coinafrique.com/2607710_uploaded_image1_1599492280.jpg""); width: 390px;"
1732750937-30,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 300 m2 - Almadies,https://sn.coinafrique.com/annonce/terrains/terrains-300-m2-almadies-2607799,300,150 000 000 CFA,"Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2607799_uploaded_image1_1599494171.jpg""); width: 416px;"
1732750941-31,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain   -Zac mbao,https://sn.coinafrique.com/annonce/terrains/terrain-zac-mbao-2608050,159 m2,20 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2608050_uploaded_image1_1599499510.jpg""); width: 369px;"
1732750945-32,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 225 m2 - Bambilor,https://sn.coinafrique.com/annonce/terrains/terrain-225-m2-bambilor-2608083,225 m2,2 500 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2608083_uploaded_image1_1599500690.jpg""); width: 596px;"
1732750950-33,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains   - Rufisque,https://sn.coinafrique.com/annonce/terrains/terrains-rufisque-2608928,300,Prix sur demande,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2608928_uploaded_image1_1599525391.jpg""); width: 514px;"
1732750954-34,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 150  m2 - Rufisque,https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-rufisque-2609809,150,7 500 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2609809_uploaded_image1_1599561918.jpg""); width: 369px;"
1732750956-35,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 70000 m2  - Mbour,https://sn.coinafrique.com/annonce/terrains/terrains-70000-m2-mbour-2609847,70000,Prix sur demande,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2609847_uploaded_image1_1599562869.jpg""); width: 369px;"
1732750961-36,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain  - Thies,https://sn.coinafrique.com/annonce/terrains/vente-terrain-thies-2610342,300 m2,1 800 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2610342_uploaded_image1_1599571306.jpg""); width: 414px;"
1732750965-37,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain  201 m2 - Keur Massar,https://sn.coinafrique.com/annonce/terrains/terrain-201-m2-keur-massar-2610821,201 m2,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2610821_uploaded_image1_1599579896.jpg""); width: 552px;"
1732750970-38,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains   - Almadies,https://sn.coinafrique.com/annonce/terrains/terrains-almadies-2610835,13000 m2,Prix sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2610835_uploaded_image1_1599580506.jpg""); width: 562px;"
1732750974-39,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 330 m2 - Point E,https://sn.coinafrique.com/annonce/terrains/terrains-330-m2-point-e-2610850,330,250 000 000 CFA,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2610850_uploaded_image1_1599580993.jpg""); width: 369px;"
1732750979-40,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain - Diass,https://sn.coinafrique.com/annonce/terrains/vente-terrain-diass-2611626,225 m2,1 500 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2611626_uploaded_image1_1599602139.jpg""); width: 409px;"
1732750985-41,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain - Sebikhotane,https://sn.coinafrique.com/annonce/terrains/terrain-sebikhotane-2612217,150 m2,3 700 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2612217_uploaded_image1_1599636451.jpg""); width: 530px;"
1732750989-42,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 150 m2  - Keur Massar,https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-keur-massar-2612775,150,3 500 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2612775_uploaded_image1_1599647897.jpg""); width: 369px;"
1732750993-43,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 600 m2 - Saly,https://sn.coinafrique.com/annonce/terrains/terrain-600-m2-saly-2613022,600 m2,26 000 000 CFA,"Saly, Sénégal","background-image: url(""https://images.coinafrique.com/2613022_uploaded_image2_1599652211.jpeg""); width: 488px;"
1732750999-44,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 150 m2 - Sicap Keur Massar,https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-sicap-keur-massar-2613480,150 m2,6 500 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2613480_uploaded_image1_1599660601.jpg""); width: 425px;"
1732751002-45,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 1000000 m2  - Malikounda,https://sn.coinafrique.com/annonce/terrains/terrains-1000000-m2-malikounda-2613708,1000000,17 000 CFA,"Malikounda, Sénégal","background-image: url(""https://images.coinafrique.com/2613708_uploaded_image1_1599664539.jpg""); width: 369px;"
1732751006-46,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain  - Diamniadio,https://sn.coinafrique.com/annonce/terrains/terrain-diamniadio-2613726,7000 m2,25 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2613726_uploaded_image1_1599665124.jpg""); width: 431px;"
1732751011-47,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain   - Thiés,https://sn.coinafrique.com/annonce/terrains/terrain-thies-2613963,,1 800 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2613963_uploaded_image1_1599670996.jpg""); width: 414px;"
1732751015-48,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 551 m2  - Hann bel-air,https://sn.coinafrique.com/annonce/terrains/terrains-551-m2-hann-bel-air-2615840,551,250 000 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2615840_uploaded_image1_1599738368.jpg""); width: 407px;"
1732751018-49,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 800 m2 - Mamelles,https://sn.coinafrique.com/annonce/terrains/terrains-800-m2-mamelles-2615855,800,300 000 000 CFA,"Mamelles, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2615855_uploaded_image1_1599738959.jpg""); width: 407px;"
1732751022-50,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 4982 m2  - Mbour,https://sn.coinafrique.com/annonce/terrains/terrains-4982-m2-mbour-2615889,4982,70 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2615889_uploaded_image1_1599739592.jpg""); width: 516px;"
1732751028-51,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 150 m2 - Thies,https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-thies-2616120,150,10 000 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2616120_uploaded_image1_1599744278.jpg""); width: 399px;"
1732751031-52,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 150 m2 - Dakar,https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-dakar-2616132,150,14 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2616132_uploaded_image1_1599744468.jpg""); width: 399px;"
1732751036-53,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 180 m2  - Keur Massar,https://sn.coinafrique.com/annonce/terrains/terrains-180-m2-keur-massar-2616160,180,8 500 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2616160_uploaded_image1_1599745274.jpg""); width: 415px;"
1732751040-54,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 300 m 2 - Keur massar,https://sn.coinafrique.com/annonce/terrains/terrains-300-m-2-keur-massar-2616170,300,13 000 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2616170_uploaded_image1_1599745549.jpg""); width: 415px;"
1732751043-55,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain  -Cité douane,https://sn.coinafrique.com/annonce/terrains/vente-terrain-cite-douane-2616856,280 m2,50 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2616856_uploaded_image1_1599759181.jpg""); width: 553px;"
1732751048-56,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains 150m²  - Rufisque,https://sn.coinafrique.com/annonce/terrains/vente-terrains-150m-rufisque-2617102,150,2 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2617102_uploaded_image1_1599765720.jpg""); width: 394px;"
1732751051-57,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 300 m2 - Mbour,https://sn.coinafrique.com/annonce/terrains/terrains-300-m2-mbour-2618061,300,3 500 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2618061_uploaded_image1_1599816446.jpg""); width: 533px;"
1732751056-58,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 150 m2 - Rufisque,https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-rufisque-2618312,150,3 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2618312_uploaded_image1_1599822404.jpg""); width: 369px;"
1732751061-59,https://sn.coinafrique.com/categorie/terrains?page=119,Vente terrain,https://sn.coinafrique.com/annonce/terrains/vente-terrain-2618349,160 m2,40 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2618349_uploaded_image1_1599822993.jpg""); width: 553px;"
1732751066-60,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 600 m2 - Somone,https://sn.coinafrique.com/annonce/terrains/terrain-600-m2-somone-2618368,600 m2,15 000 000 CFA,"Saly, Sénégal","background-image: url(""https://images.coinafrique.com/2618368_uploaded_image1_1599823509.jpg""); width: 488px;"
1732751071-61,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 150 m2  - Niaga,https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-niaga-2618883,150,7 500 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/2618883_uploaded_image1_1599834156.jpg""); width: 369px;"
1732751075-62,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 510 m2 - Dakar,https://sn.coinafrique.com/annonce/terrains/terrain-510-m2-dakar-2619082,510 m2,70 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2619082_uploaded_image1_1599838320.jpg""); width: 431px;"
1732751079-63,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 172 m2 *- Pikine,https://sn.coinafrique.com/annonce/terrains/terrain-172-m2-pikine-2619175,172 m2,26 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2619175_uploaded_image1_1599840542.jpg""); width: 393px;"
1732751085-64,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 150  m 2 - Rufisque,https://sn.coinafrique.com/annonce/terrains/terrains-150-m-2-rufisque-2619322,150,7 500 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2619322_uploaded_image1_1599844744.jpg""); width: 369px;"
1732751089-65,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain 250 m2 - Mbour,https://sn.coinafrique.com/annonce/terrains/terrain-250-m2-mbour-2619389,250,3 750 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2619389_uploaded_image1_1599846409.jpg""); width: 408px;"
1732751096-66,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 200 m² - Rufisque,https://sn.coinafrique.com/annonce/terrains/vente-terrain-200-m-rufisque-2619604,200,20 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2619604_uploaded_image1_1599854340.jpg""); width: 499px;"
1732751103-67,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Champ 25 hectares - Fandene Thiès,https://sn.coinafrique.com/annonce/terrains/vente-champ-25-hectares-fandene-thies-2619705,250000 m2,50 000 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2619705_uploaded_image1_1599857710.jpg""); width: 436px;"
1732751109-68,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 100 hectares - Diass,https://sn.coinafrique.com/annonce/terrains/vente-terrain-100-hectares-diass-2620116,100000 m2,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2620116_uploaded_image1_1599872095.jpg""); width: 548px;"
1732751113-69,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains 130000m2  - Mbour,https://sn.coinafrique.com/annonce/terrains/vente-terrains-130000m2-mbour-2620662,130000,9 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2620662_uploaded_image1_1599906101.jpg""); width: 533px;"
1732751118-70,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 300 m2- Malikounda,https://sn.coinafrique.com/annonce/terrains/terrains-300-m2-malikounda-2620742,300,3 000 000 CFA,"Malikounda, Sénégal","background-image: url(""https://images.coinafrique.com/2620742_uploaded_image1_1599908442.jpg""); width: 533px;"
1732751124-71,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains 150 m² - Yenne,https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m-yenne-2621182,150,1 600 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2621182_uploaded_image1_1599919856.jpg""); width: 543px;"
1732751128-72,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 600m² - Saly,https://sn.coinafrique.com/annonce/terrains/vente-terrain-600m-saly-2621397,600,26 000 000 CFA,"Saly, Sénégal","background-image: url(""https://images.coinafrique.com/2621397_uploaded_image1_1599925828.jpg""); width: 555px;"
1732751133-73,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 4000 m² - Saint Louis,https://sn.coinafrique.com/annonce/terrains/vente-terrain-4000-m-saint-louis-2621459,4000,20 000 000 CFA,"Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/2621459_uploaded_image1_1599927420.jpg""); width: 440px;"
1732751138-74,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains - Noflaye - Bambilor,https://sn.coinafrique.com/annonce/terrains/terrains-noflaye-bambilor-2622146,150 m2,3 750 000 CFA,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2622146_uploaded_image1_1606408833.jpg""); width: 369px;"
1732751143-75,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 150 m² - Mbour,https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-mbour-2622701,150,3 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2622701_uploaded_image1_1599995521.jpg""); width: 408px;"
1732751147-76,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 225m² - Diass,https://sn.coinafrique.com/annonce/terrains/vente-terrain-225m-diass-2622968,225 m2,1 000 000 CFA,"Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/2622968_uploaded_image1_1600004427.jpg""); width: 372px;"
1732751152-77,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains 1000m²  - Thies,https://sn.coinafrique.com/annonce/terrains/vente-terrains-1000m-thies-2623010,1000,100 000 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2623010_uploaded_image1_1600005903.jpg""); width: 574px;"
1732751157-78,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrains 150m² - Zac De Kounoune,https://sn.coinafrique.com/annonce/terrains/vente-terrains-150m-zac-de-kounoune-2623431,150 m2,10 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2623431_uploaded_image1_1600020615.jpg""); width: 416px;"
1732751161-79,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain - Yene,https://sn.coinafrique.com/annonce/terrains/vente-terrain-yene-2623644,150 m2,3 500 000 CFA,"Toubab Dialao, Sénégal","background-image: url(""https://images.coinafrique.com/2623644_uploaded_image1_1600027547.jpg""); width: 436px;"
1732751164-80,https://sn.coinafrique.com/categorie/terrains?page=119,Vente Terrain 300 m² - Mbour,https://sn.coinafrique.com/annonce/terrains/vente-terrain-300-m-mbour-2623716,300,5 000 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2623716_uploaded_image1_1600029659.jpg""); width: 408px;"
1732751170-81,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 150 m2 - Keur Massar,https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-keur-massar-2623801,150,8 500 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2623801_uploaded_image1_1600032976.jpg""); width: 386px;"
1732751175-82,https://sn.coinafrique.com/categorie/terrains?page=119,Terrain - Keur Massar,https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-2624652,150 m2,8 000 000 CFA,Sénégal,"background-image: url(""https://images.coinafrique.com/2624652_uploaded_image1_1600079646.jpg""); width: 455px;"
1732751207-83,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 150 m2 - Dakar,https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-dakar-2625016,150,2 500 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2625016_uploaded_image1_1600087073.jpg""); width: 556px;"
1732751210-84,https://sn.coinafrique.com/categorie/terrains?page=119,Terrains 225m² -  cité Belvédère,https://sn.coinafrique.com/annonce/terrains/terrains-225m-cite-belvedere-2625250,225 m2,25 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2625250_uploaded_image1_1600091989.jpg""); width: 393px;"
1732751238-85,https://sn.coinafrique.com/categorie/terrains?page=118,Terrain 300 m2 - Saly,https://sn.coinafrique.com/annonce/terrains/terrain-300-m2-saly-2625302,300 m2,5 000 000 CFA,"Saly, Sénégal","background-image: url(""https://images.coinafrique.com/2625302_uploaded_image1_1600093197.jpg""); width: 488px;"
