web-scraper-order,web-scraper-start-url,terrains_links,terrains_links-href,area,price,address,images_links
1732755761-37,https://sn.coinafrique.com/categorie/terrains?pages=50,9 000 000CFA,https://sn.coinafrique.com/annonce/terrains/terrain-1600-m-bayakh-5059437,AccueilImmobilierTerrainsTerrain 1600 m² - Bayakh,9 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5059437_uploaded_image1_1732460895.jpg""); width: 558px;"
1732755766-38,https://sn.coinafrique.com/categorie/terrains?pages=50,1 599 000CFA,https://sn.coinafrique.com/annonce/terrains/terrains-tivaouane-5011768,AccueilImmobilierTerrainsTerrains -Tivaouane,1 599 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/5011768_uploaded_image1_1729899205.jpg""); width: 507px;"
1732755771-39,https://sn.coinafrique.com/categorie/terrains?pages=50,1 150 000CFA,https://sn.coinafrique.com/annonce/terrains/terrain-3150-m-ngor-5044647,AccueilImmobilierTerrainsTerrain 3150 m² - Ngor,1 150 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5044647_uploaded_image1_1731627481.jpg""); width: 609px;"
1732755775-40,https://sn.coinafrique.com/categorie/terrains?pages=50,3 800 000CFA,https://sn.coinafrique.com/annonce/terrains/terrains-225m-saint-louis-5060064,AccueilImmobilierTerrainsTerrains 225m²  - Saint louis,3 800 000 CFA,"Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/5060064_uploaded_image1_1732496718.jpg""); width: 526px;"
1732755779-41,https://sn.coinafrique.com/categorie/terrains?pages=50,1 700 000CFA,https://sn.coinafrique.com/annonce/terrains/terrains-1626-m-almadies-5060264,AccueilImmobilierTerrainsTerrains 1626 m²  - Almadies,1 700 000 CFA,"Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5060264_uploaded_image1_1732522537.jpg""); width: 488px;"
1732755784-42,https://sn.coinafrique.com/categorie/terrains?pages=50,23 000 000CFA,https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-petit-mbao-5052861,AccueilImmobilierTerrainsTerrain 150 m2 Petit Mbao,23 000 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5052861_uploaded_image1_1732097210.7.jpeg""); width: 388px;"
1732755790-43,https://sn.coinafrique.com/categorie/terrains?pages=50,14 000 000CFA,https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-keur-massar-5052866,AccueilImmobilierTerrainsTerrain 150 m2 Keur Massar,14 000 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/5052866_uploaded_image1_1732097410.99.jpeg""); width: 388px;"
1732755796-44,https://sn.coinafrique.com/categorie/terrains?pages=50,20 000 000CFA,https://sn.coinafrique.com/annonce/terrains/vente-villa-a-demolir-a-keur-massar-5060632,AccueilImmobilierTerrainsVente  villa à démolir à keur massar,20 000 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/5060632_uploaded_image1_1732535924.jpg""); width: 630px;"
1732755803-45,https://sn.coinafrique.com/categorie/terrains?pages=50,20 000 000CFA,https://sn.coinafrique.com/annonce/terrains/terrain-rufisque-ouest-5060697,AccueilImmobilierTerrainsTerrain - Rufisque Ouest,20 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/5060697_uploaded_image1_1732538229.jpg""); width: 394px;"
1732755808-46,https://sn.coinafrique.com/categorie/terrains?pages=50,Prix sur demande,https://sn.coinafrique.com/annonce/terrains/projet-terassement-5031622,AccueilImmobilierTerrainsProjet terassement,Prix sur demande,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/5031622_uploaded_image1_1730982602.jpg""); width: 515px;"
1732755812-47,https://sn.coinafrique.com/categorie/terrains?pages=50,3 200 000CFA,https://sn.coinafrique.com/annonce/terrains/terrains-lac-rose-5051543,AccueilImmobilierTerrainsTerrains - Lac rose,3 200 000 CFA,"Lac rose, Sénégal","background-image: url(""https://images.coinafrique.com/5051543_uploaded_image1_1732020619.jpg""); width: 588px;"
1732755818-48,https://sn.coinafrique.com/categorie/terrains?pages=50,4 500 000CFA,https://sn.coinafrique.com/annonce/terrains/vente-terrains-180m-thies-5045499,AccueilImmobilierTerrainsVente terrains 180m²  - Thiès,4 500 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/5045499_uploaded_image1_1731675092.jpg""); width: 535px;"
1732755824-49,https://sn.coinafrique.com/categorie/terrains?pages=50,18 000 000CFA,https://sn.coinafrique.com/annonce/terrains/terrains-160m-keur-massar-5045503,AccueilImmobilierTerrainsTerrains 160m²  - keur massar,18 000 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/5045503_uploaded_image1_1731675195.jpg""); width: 535px;"
1732755833-50,https://sn.coinafrique.com/categorie/terrains?pages=50,15 000 000CFA,https://sn.coinafrique.com/annonce/terrains/terrains-300m-diamniadio-5028093,AccueilImmobilierTerrainsTerrains 300m²  - Diamniadio,15 000 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/5028093_uploaded_image2_1730813981.jpeg""); width: 517px;"
1732755843-51,https://sn.coinafrique.com/categorie/terrains?pages=50,3 800 000CFA,https://sn.coinafrique.com/annonce/terrains/terrains-150m-thies-5028090,AccueilImmobilierTerrainsTerrains 150m² - Thies,3 800 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/5028090_uploaded_image1_1730813861.jpg""); width: 517px;"
