area,adress,price,img_link
150,"Mermoz-Sacré Coeur, Dakar, Sénégal",12500000,https://images.coinafrique.com/thumb_4997587_uploaded_image1_1729110854.jpg
1000 ,"Saly, Sénégal",40000000,https://images.coinafrique.com/thumb_5044611_uploaded_image1_1731625690.jpg
5000 ,"Saly, Sénégal",20000,https://images.coinafrique.com/thumb_5044594_uploaded_image1_1731625198.jpg
200,"Almadies 2, Dakar, Sénégal",42000000,https://images.coinafrique.com/thumb_5000378_uploaded_image1_1729253519.97.jpeg
150,"Mbao, Dakar, Sénégal",30000000,https://images.coinafrique.com/thumb_5000374_uploaded_image1_1729253410.7.jpeg
200,"Ndiass, Sénégal",2500000,https://images.coinafrique.com/thumb_5043379_uploaded_image1_1731579165.jpg
320 ,"Saint Louis, Sénégal",3500000,https://images.coinafrique.com/thumb_5042773_uploaded_image1_1731534336.jpg
655 ,"Dakar, Sénégal",,https://images.coinafrique.com/thumb_5042396_uploaded_image1_1731521233.jpg
150 ,"Rufisque, Sénégal",15000000,https://images.coinafrique.com/thumb_5042012_uploaded_image1_1731510763.jpg
225 ,"Thies, Sénégal",1500000,https://images.coinafrique.com/thumb_5041998_uploaded_image1_1731510467.jpg
150 ,"Diamniadio, Sénégal",10000000,https://images.coinafrique.com/thumb_5040726_uploaded_image1_1731441893.jpg
300,"Mbour, Sénégal",5500000,https://images.coinafrique.com/thumb_5039568_uploaded_image2_1731406357.jpeg
350,"Diamniadio, Sénégal",30000000,https://images.coinafrique.com/thumb_5039338_uploaded_image2_1731396374.jpeg
726 ,"Ziguinchor, Sénégal",24000000,https://images.coinafrique.com/thumb_5038656_uploaded_image1_1731347179.jpg
160 ,"Ouest Foire, Dakar, Sénégal",150000000,https://images.coinafrique.com/thumb_5038396_uploaded_image1_1731338091.jpg
270 ,"Guediawaye, Dakar, Sénégal",34000000,https://images.coinafrique.com/thumb_5028908_uploaded_image1_1730845884.jpg
225 ,"Thies, Sénégal",4000000,https://images.coinafrique.com/thumb_5036743_uploaded_image1_1731251187.jpg
188,"Thies, Sénégal",8500000,https://images.coinafrique.com/thumb_5036710_uploaded_image2_1731249702.jpeg
180,"Thies, Sénégal",4500000,https://images.coinafrique.com/thumb_4996781_uploaded_image1_1729083741.jpg
180,"Thies, Sénégal",4500000,https://images.coinafrique.com/thumb_4996794_uploaded_image1_1729084132.jpg
150,"Lac rose, Sénégal",14000000,https://images.coinafrique.com/thumb_4996774_uploaded_image1_1729083611.jpg
300,"Mbour, Sénégal",9500000,https://images.coinafrique.com/thumb_4992887_uploaded_image1_1728907804.jpg
300,"Ngaparou, Sénégal",18000000,https://images.coinafrique.com/thumb_4992705_uploaded_image1_1728902048.jpg
900,"Ngaparou, Sénégal",63000000,https://images.coinafrique.com/thumb_5036448_uploaded_image1_1731238655.jpg
150 ,"Keur Massar, Sénégal",14000000,https://images.coinafrique.com/thumb_5036001_uploaded_image1_1731192929.jpg
150,"Ngor, Dakar, Sénégal",100000000,https://images.coinafrique.com/thumb_4991288_uploaded_image1_1728817991.jpg
180,"Rufisque, Sénégal",35000000,https://images.coinafrique.com/thumb_4996521_uploaded_image1_1729076334.jpg
5218,"Diamniadio, Sénégal",45000,https://images.coinafrique.com/thumb_4996461_uploaded_image1_1729074360.jpg
200,"Mbao, Dakar, Sénégal",27500000,https://images.coinafrique.com/thumb_5034837_uploaded_image1_1731116895.jpg
500 ,"Ziguinchor, Sénégal",25000000,https://images.coinafrique.com/thumb_4993912_uploaded_image1_1728940943.jpg
150,"Ouakam, Dakar, Sénégal",85000000,https://images.coinafrique.com/thumb_5004624_uploaded_image1_1729531414.jpg
10000,"Almadies, Dakar, Sénégal",1500000,https://images.coinafrique.com/thumb_5004636_uploaded_image1_1729531622.jpg
150,"Kolda, Sénégal",15000000,https://images.coinafrique.com/thumb_5033696_uploaded_image1_1731069985.jpg
150,"Rufisque, Sénégal",2500000,https://images.coinafrique.com/thumb_5031707_uploaded_image1_1730984794.jpg
300,"Toubab Dialao, Sénégal",6000000,https://images.coinafrique.com/thumb_4984621_uploaded_image1_1728472984.jpg
5000,"Malikounda, Sénégal",13000000,https://images.coinafrique.com/thumb_4984723_uploaded_image1_1728476784.jpg
600,"Rufisque, Sénégal",13000000,https://images.coinafrique.com/thumb_4984705_uploaded_image1_1728476282.jpg
150,"Toubab Dialao, Sénégal",3500000,https://images.coinafrique.com/thumb_4984713_uploaded_image1_1728476531.jpg
210,"Thies, Sénégal",1800000,https://images.coinafrique.com/thumb_4987715_uploaded_image1_1728600026.jpg
150,"Dakar, Sénégal",14000000,https://images.coinafrique.com/thumb_5030417_uploaded_image1_1730916289.jpg
750,"Touba, Sénégal",8000000,https://images.coinafrique.com/thumb_4987231_uploaded_image1_1728576335.jpg
160,"Thies, Sénégal",7500000,https://images.coinafrique.com/thumb_4987185_uploaded_image1_1728574972.jpg
300,"Thies, Sénégal",6000000,https://images.coinafrique.com/thumb_4987180_uploaded_image1_1728574428.jpg
300,"Mbour, Sénégal",6500000,https://images.coinafrique.com/thumb_4987176_uploaded_image1_1728574246.jpg
3000,"Thies, Sénégal",1800000,https://images.coinafrique.com/thumb_4987077_uploaded_image1_1728572045.jpg
178 ,"Mbao, Dakar, Sénégal",50000000,https://images.coinafrique.com/thumb_5030159_uploaded_image1_1730907348.jpg
150,"Rufisque, Sénégal",10000000,https://images.coinafrique.com/thumb_4987063_uploaded_image1_1728571630.jpg
150,"Rufisque, Sénégal",7000000,https://images.coinafrique.com/thumb_4987070_uploaded_image1_1728571881.jpg
300,"Touba, Sénégal",1600000,https://images.coinafrique.com/thumb_4987040_uploaded_image1_1728570815.jpg
300,"Keur Massar, Sénégal",18000000,https://images.coinafrique.com/thumb_4987025_uploaded_image1_1728570401.jpg
23000,"Touba, Sénégal",100000000,https://images.coinafrique.com/thumb_4986987_uploaded_image1_1728569011.jpg
1000,"Touba, Sénégal",27000000,https://images.coinafrique.com/thumb_4986978_uploaded_image1_1728568695.jpg
300,"Thies, Sénégal",4500000,https://images.coinafrique.com/thumb_4986868_uploaded_image1_1728565096.jpg
225,"Thies, Sénégal",3750000,https://images.coinafrique.com/thumb_4986856_uploaded_image1_1728564778.jpg
150,"Rufisque, Sénégal",6500000,https://images.coinafrique.com/thumb_4986833_uploaded_image1_1728564280.jpg
150,"Diamniadio, Sénégal",13500000,https://images.coinafrique.com/thumb_5029507_uploaded_image1_1730889206.jpg
180,"Thies, Sénégal",45000000,https://images.coinafrique.com/thumb_5029479_uploaded_image2_1730888319.jpeg
300 ,"Lac rose, Sénégal",9000000,https://images.coinafrique.com/thumb_5028636_uploaded_image3_1730832924.jpeg
150 ,"Diamalaye 2, Dakar, Sénégal",75000000,https://images.coinafrique.com/thumb_5028498_uploaded_image1_1730827540.jpg
225,"Thies, Sénégal",3500000,https://images.coinafrique.com/thumb_5028155_uploaded_image1_1730816235.jpg
200,"Mariste, Dakar, Sénégal",135000000,https://images.coinafrique.com/thumb_5028050_uploaded_image1_1730812729.jpg
312 ,"Mbour, Sénégal",8000000,https://images.coinafrique.com/thumb_5026550_uploaded_image1_1730735947.jpg
150,"Rufisque, Sénégal",14000000,https://images.coinafrique.com/thumb_5025759_uploaded_image1_1730714847.jpg
412 ,"Mbour, Sénégal",17000000,https://images.coinafrique.com/thumb_5023866_uploaded_image1_1730581874.jpg
170 ,"Almadies 2, Dakar, Sénégal",35000000,https://images.coinafrique.com/thumb_5023556_uploaded_image1_1730564746.jpg
300 ,"Mbour, Sénégal",6000000,https://images.coinafrique.com/thumb_5023554_uploaded_image1_1730564599.jpg
150,"Keur Massar, Sénégal",15000000,https://images.coinafrique.com/thumb_5023155_uploaded_image1_1730548400.jpg
3563 ,"Fatick, Sénégal",169000000,https://images.coinafrique.com/thumb_5021885_uploaded_image1_1730480503.jpg
205 ,"Ouest Foire, Dakar, Sénégal",95000000,https://images.coinafrique.com/thumb_5021726_uploaded_image1_1730475225.jpg
983 ,"Ngaparou, Sénégal",90000000,https://images.coinafrique.com/thumb_5021669_uploaded_image1_1730473779.jpg
463,"Mbour, Sénégal",27000000,https://images.coinafrique.com/thumb_5021214_uploaded_image1_1730456202.jpg
150,"Dakar, Sénégal",16000000,https://images.coinafrique.com/thumb_5021048_uploaded_image1_1730449779.jpg
150 ,"Toubab Dialao, Sénégal",4000000,https://images.coinafrique.com/thumb_5020253_uploaded_image1_1730401958.jpg
192,"Thies, Sénégal",1500000,https://images.coinafrique.com/thumb_5016104_uploaded_image1_1730201584.jpg
200 ,"Mamelles, Dakar, Sénégal",140000000,https://images.coinafrique.com/thumb_4983735_uploaded_image1_1728421193.jpg
180 ,"Diamniadio, Sénégal",12000000,https://images.coinafrique.com/thumb_5015218_uploaded_image1_1730142001.jpg
180 ,"Diamniadio, Sénégal",12000000,https://images.coinafrique.com/thumb_5015214_uploaded_image1_1730141941.jpg
900 ,"Ngaparou, Sénégal",75000000,https://images.coinafrique.com/thumb_5014946_uploaded_image1_1730130403.jpg
150,"Keur Massar, Sénégal",16500000,https://images.coinafrique.com/thumb_5014913_uploaded_image1_1730128380.jpg
150,"Diamniadio, Sénégal",6000000,https://images.coinafrique.com/thumb_4974831_uploaded_image1_1727959203.jpg
500 ,"Malikounda, Sénégal",75000000,https://images.coinafrique.com/thumb_5013933_uploaded_image1_1730066782.jpg
150 ,"Diamniadio, Sénégal",7000000,https://images.coinafrique.com/thumb_5013619_uploaded_image1_1730051166.jpg
300,"Sipres, Dakar, Sénégal",60000000,https://images.coinafrique.com/thumb_5013281_uploaded_image2_1730030524.jpeg
150,"Keur Massar, Sénégal",7000000,https://images.coinafrique.com/thumb_5011171_uploaded_image1_1729864866.jpg
150,"Dakar, Sénégal",,https://images.coinafrique.com/thumb_5011022_uploaded_image1_1729859578.jpg
180,"Thies, Sénégal",900000,https://images.coinafrique.com/thumb_5010717_uploaded_image1_1729849264.jpg
300 ,"Malikounda, Sénégal",18000000,https://images.coinafrique.com/thumb_5009560_uploaded_image2_1729783316.jpeg
